13735_0:000675	301105at32523	102460481
13735_0:000677	70607at32523	102461679
13735_0:000679	74405at32523	102462229
13735_0:000696	206332at32523	102450520
13735_0:000699	259371at32523	102453707
13735_0:00069a	106366at32523	102452954
13735_0:00069d	210195at32523	102451619
13735_0:00069f	54439at32523	102453204
13735_0:0006a0	304702at32523	102452441
13735_0:0006a1	158268at32523	102454186
13735_0:0006a5	167629at32523	102454671
13735_0:0006a6	58880at32523	102454931
13735_0:0006a8	86390at32523	102455841
13735_0:0006ab	58582at32523	102458488
13735_0:0006ad	173099at32523	102459435
13735_0:0006ae	290064at32523	102457162
13735_0:0006b2	65021at32523	102457577
13735_0:0006bd	273391at32523	102462958
13735_0:0006d1	125782at32523	102449974
13735_0:0006d8	156453at32523	102453708
13735_0:0006d9	110140at32523	102454262
13735_0:0006db	76244at32523	102453466
13735_0:0006dd	109602at32523	102452028
13735_0:0006e6	43096at32523	102458005
13735_0:0006e7	213262at32523	102458870
13735_0:0006e9	194996at32523	102458243
13735_0:0006ea	157101at32523	102458646
13735_0:0006eb	18213at32523	102459600
13735_0:0006ec	41111at32523	102460067
13735_0:0006f1	149367at32523	102461265
13735_0:0006f8	55566at32523	102450291
13735_0:0006f9	79210at32523	102444501
13735_0:0006fb	174949at32523	102450988
13735_0:0006fd	278988at32523	102448524
13735_0:0006ff	250310at32523	102443536
13735_0:000703	215018at32523	102463430
13735_0:000704	116192at32523	102443781
13735_0:000707	302721at32523	102444259
13735_0:000708	214558at32523	102450746
13735_0:00070a	161015at32523	102463859
13735_0:00070d	5875at32523	102447220
13735_0:000711	16711at32523	102452692
13735_0:000716	236789at32523	102453296
13735_0:00071d	188076at32523	102458404
13735_0:00071e	62592at32523	102460302
13735_0:00071f	157369at32523	102460542
13735_0:000729	230057at32523	102463941
13735_0:000730	31024at32523	102447880
13735_0:000733	78793at32523	102450455
13735_0:000734	155481at32523	102451387
13735_0:000738	154353at32523	102449404
13735_0:00073a	116657at32523	102456428
13735_0:00073c	72399at32523	102457911
13735_0:00073f	196473at32523	102455917
13735_0:000740	167094at32523	102463513
13735_0:000742	87782at32523	102453625
13735_0:000743	122167at32523	102449800
13735_0:000744	253993at32523	102446883
13735_0:000745	100144at32523	102453037
13735_0:000748	64758at32523	102448685
13735_0:00074b	298947at32523	102450365
13735_0:000751	143915at32523	102453786
13735_0:000757	79679at32523	102448139
13735_0:00075c	166620at32523	102463118
13735_0:000763	120186at32523	102448289
13735_0:000769	78178at32523	102456675
13735_0:00076c	228524at32523	102455103
13735_0:00076f	134044at32523	102444790
13735_0:000770	71741at32523	102445372
13735_0:000773	306698at32523	102453551
13735_0:000777	230348at32523	102462871
13735_0:000779	23307at32523	102456914
13735_0:00077c	243717at32523	102444101
13735_0:00077f	61513at32523	102451860
13735_0:000784	56494at32523	102449638
13735_0:000785	7335at32523	102458726
13735_0:000786	1240at32523	102451859
13735_0:000787	288646at32523	102461122
13735_0:000789	7708at32523	102450213
13735_0:00078a	167036at32523	102456168
13735_0:000794	178320at32523	102461440
13735_0:0007af	107749at32523	102450825
13735_0:0007b0	222011at32523	102453039
13735_0:0007b7	269194at32523	102457755
13735_0:0007b9	219003at32523	102455678
13735_0:0007ba	137765at32523	102456915
13735_0:0007bc	196101at32523	102457320
13735_0:0007be	224357at32523	102458406
13735_0:0007bf	17799at32523	102458873
13735_0:0007c0	236309at32523	102459114
13735_0:0007c2	6566at32523	102459353
13735_0:0007c6	258495at32523	102449731
13735_0:0007c8	46922at32523	102461511
13735_0:0007ca	137251at32523	102463602
13735_0:0007cc	252011at32523	102447542
13735_0:0007cf	147055at32523	102461267
13735_0:0007d2	230300at32523	102448044
13735_0:0007d4	38156at32523	102462793
13735_0:0007d7	254681at32523	102461031
13735_0:0007d9	137316at32523	102449251
13735_0:0007dc	158430at32523	102460786
13735_0:0007df	272384at32523	102462313
13735_0:0007e4	83154at32523	102450368
13735_0:0007e6	289897at32523	102454504
13735_0:0007e8	216755at32523	102452523
13735_0:0007ef	197855at32523	102455846
13735_0:0007f2	196735at32523	102451861
13735_0:0007f3	111173at32523	102458648
13735_0:0007fb	238677at32523	102460644
13735_0:000820	38721at32523	102452697
13735_0:000822	198351at32523	102456170
13735_0:000825	181546at32523	102451553
13735_0:000828	200486at32523	102449976
13735_0:000829	32255at32523	102449732
13735_0:00082d	31168at32523	102457580
13735_0:00082f	204538at32523	102455020
13735_0:000832	9283at32523	102452192
13735_0:000839	103627at32523	102459604
13735_0:00083d	90233at32523	102461362
13735_0:000854	229254at32523	102447385
13735_0:000855	249574at32523	102446885
13735_0:000856	264313at32523	102447134
13735_0:000858	92810at32523	102447630
13735_0:000865	80341at32523	102450593
13735_0:00086a	300772at32523	102453469
13735_0:00086c	254860at32523	102455190
13735_0:00086d	181679at32523	102449407
13735_0:00086f	257936at32523	102454098
13735_0:000870	68252at32523	102457164
13735_0:000877	67681at32523	102460305
13735_0:000879	41450at32523	102459834
13735_0:00087c	72650at32523	102458409
13735_0:000880	71859at32523	102444175
13735_0:000881	199331at32523	102443783
13735_0:000883	240368at32523	102446012
13735_0:000887	128719at32523	102463515
13735_0:000888	190874at32523	102446255
13735_0:000891	130936at32523	102446485
13735_0:000898	50637at32523	102449168
13735_0:00089c	218576at32523	102455518
13735_0:00089d	147626at32523	102447631
13735_0:00089e	132319at32523	102450123
13735_0:00089f	10578at32523	102451704
13735_0:0008a2	125055at32523	102450993
13735_0:0008a4	299794at32523	102452783
13735_0:0008a6	145628at32523	102455022
13735_0:0008a7	280714at32523	102451941
13735_0:0008a8	114808at32523	102447885
13735_0:0008a9	71192at32523	102451473
13735_0:0008ab	120928at32523	102453041
13735_0:0008af	155761at32523	102459195
13735_0:0008b3	228078at32523	102461033
13735_0:0008b5	181110at32523	102457000
13735_0:0008b6	48437at32523	102461763
13735_0:0008b7	55368at32523	102460648
13735_0:0008c2	266561at32523	102445777
13735_0:0008c4	75645at32523	102448047
13735_0:0008ca	228725at32523	102452699
13735_0:0008cb	178611at32523	102447298
13735_0:0008cc	189115at32523	102447545
13735_0:0008cf	257014at32523	102454936
13735_0:0008d0	225958at32523	102449897
13735_0:0008d1	207100at32523	102454188
13735_0:0008d2	235673at32523	102454428
13735_0:0008d4	232760at32523	102450124
13735_0:0008d5	138387at32523	102453366
13735_0:0008d7	3725at32523	102446256
13735_0:0008d8	109425at32523	102453112
13735_0:0008d9	140221at32523	102453789
13735_0:0008e2	88808at32523	102446553
13735_0:0008e4	17511at32523	102451309
13735_0:0008ec	61329at32523	102449169
13735_0:0008ef	225441at32523	102463700
13735_0:0008f8	148049at32523	102458011
13735_0:0008f9	130217at32523	102450828
13735_0:0008fa	261329at32523	102450594
13735_0:0008fb	115729at32523	102452527
13735_0:0008fc	138631at32523	102446966
13735_0:000900	282956at32523	102451787
13735_0:000901	236823at32523	102451555
13735_0:000904	180359at32523	102461365
13735_0:000906	138631at32523	102447225
13735_0:000908	193254at32523	102460959
13735_0:000917	66188at32523	102459682
13735_0:000919	156299at32523	102458730
13735_0:00091d	249160at32523	102457657
13735_0:000920	258368at32523	102459439
13735_0:000921	21947at32523	102457912
13735_0:000924	45359at32523	102461271
13735_0:000932	216033at32523	102446554
13735_0:000933	67374at32523	102446802
13735_0:000936	47147at32523	102447969
13735_0:000937	166167at32523	102447300
13735_0:00093a	192580at32523	102448219
13735_0:00093b	196873at32523	102449255
13735_0:00093f	111371at32523	102450372
13735_0:000948	17816at32523	102454340
13735_0:00094e	104943at32523	102456515
13735_0:000952	210620at32523	102458495
13735_0:000957	167160at32523	102461444
13735_0:000958	63225at32523	102460072
13735_0:00095b	193695at32523	102462148
13735_0:00095d	251956at32523	102461196
13735_0:00095e	152363at32523	102457003
13735_0:000964	107049at32523	102443459
13735_0:000965	181736at32523	102443946
13735_0:000973	179598at32523	102446555
13735_0:000979	164694at32523	102450055
13735_0:000995	194949at32523	102461198
13735_0:000998	303097at32523	102459526
13735_0:00099c	280777at32523	102458878
13735_0:00099d	279033at32523	102462796
13735_0:0009a1	262014at32523	102458653
13735_0:0009a2	140174at32523	102463519
13735_0:0009a3	197098at32523	102463287
13735_0:0009ad	36299at32523	102446258
13735_0:0009cf	251873at32523	102453954
13735_0:0009d0	218169at32523	102455281
13735_0:0009d5	82211at32523	102456008
13735_0:0009e2	149610at32523	102461605
13735_0:0009e3	269039at32523	102460787
13735_0:0009e7	149967at32523	102443787
13735_0:0009ea	33874at32523	102463288
13735_0:0009ec	196917at32523	102444024
13735_0:0009f4	242564at32523	102446804
13735_0:0009f6	18367at32523	102448220
13735_0:0009f7	60727at32523	102448451
13735_0:0009f9	29845at32523	102447301
13735_0:0009fe	242271at32523	102448860
13735_0:0009ff	165748at32523	102449736
13735_0:000a00	259941at32523	102449494
13735_0:000a09	294806at32523	102458801
13735_0:000a0d	99735at32523	102455364
13735_0:000a12	296861at32523	102455109
13735_0:000a13	149303at32523	102456590
13735_0:000a15	157574at32523	102457327
13735_0:000a34	34059at32523	102452962
13735_0:000a36	41564at32523	102445536
13735_0:000a37	288923at32523	102463289
13735_0:000a43	289619at32523	102449410
13735_0:000a56	47862at32523	102450922
13735_0:000a5d	237546at32523	102450059
13735_0:000a5e	24974at32523	102456432
13735_0:000a62	173021at32523	102459124
13735_0:000a67	6412at32523	102444721
13735_0:000a69	181929at32523	102446016
13735_0:000a6a	293285at32523	102444025
13735_0:000a6b	149417at32523	102449012
13735_0:000a6e	47463at32523	102445625
13735_0:000a6f	279697at32523	102446489
13735_0:000a70	138161at32523	102446260
13735_0:000a71	191457at32523	102447303
13735_0:000a72	113557at32523	102447549
13735_0:000a98	118231at32523	102463952
13735_0:000a9b	240415at32523	102450221
13735_0:000a9c	166317at32523	102449013
13735_0:000a9d	258486at32523	102445126
13735_0:000a9f	292138at32523	102447637
13735_0:000aa3	86704at32523	102451158
13735_0:000aa4	257614at32523	102444507
13735_0:000aa5	177564at32523	102460724
13735_0:000aaa	47274at32523	102463520
13735_0:000aac	99861at32523	102451866
13735_0:000aae	144786at32523	102446322
13735_0:000ab0	189500at32523	102451394
13735_0:000ab1	302643at32523	102461368
13735_0:000ab4	288836at32523	102449411
13735_0:000ab5	264741at32523	102444108
13735_0:000abd	276964at32523	102464035
13735_0:000abf	174649at32523	102457246
13735_0:000ac1	76122at32523	102443543
13735_0:000ac9	291672at32523	102444265
13735_0:000aca	238821at32523	102456344
13735_0:000acc	197550at32523	102444026
13735_0:000acf	212074at32523	102458882
13735_0:000ad2	81921at32523	102443790
13735_0:000ad4	259661at32523	102458096
13735_0:000ad7	154523at32523	102463207
13735_0:000ad8	163249at32523	102463776
13735_0:000ad9	244465at32523	102455927
13735_0:000ada	93246at32523	106731383
13735_0:000adb	83688at32523	102447048
13735_0:000ade	149898at32523	102445281
13735_0:000ae2	112394at32523	102445038
13735_0:000ae6	154151at32523	102447638
13735_0:000af2	257104at32523	102454104
13735_0:000af3	65197at32523	102452529
13735_0:000af6	161343at32523	102452786
13735_0:000afb	233842at32523	102455443
13735_0:000afe	273646at32523	102457413
13735_0:000b01	61510at32523	102458416
13735_0:000b06	6879at32523	102459996
13735_0:000b08	250601at32523	102460241
13735_0:000b0f	135534at32523	102461608
13735_0:000b11	285773at32523	102461855
13735_0:000b1b	33595at32523	102443791
13735_0:000b1c	199274at32523	102464037
13735_0:000b1d	188702at32523	102443544
13735_0:000b1e	264604at32523	102444724
13735_0:000b22	182087at32523	102446323
13735_0:000b2d	99410at32523	102454681
13735_0:000b2f	103350at32523	102455929
13735_0:000b31	99714at32523	102454938
13735_0:000b33	233200at32523	102450683
13735_0:000b3c	213366at32523	102451314
13735_0:000b3d	127141at32523	102449412
13735_0:000b41	247494at32523	102449259
13735_0:000b42	212013at32523	102450925
13735_0:000b49	81334at32523	102458733
13735_0:000b4c	173903at32523	102460156
13735_0:000b4d	14074at32523	102457919
13735_0:000b4e	225154at32523	102458331
13735_0:000b4f	85859at32523	102459200
13735_0:000b53	183201at32523	102461132
13735_0:000b5f	14268at32523	102444799
13735_0:000b60	262363at32523	102446416
13735_0:000b6a	200702at32523	102448386
13735_0:000b6e	271272at32523	102450374
13735_0:000b70	112844at32523	102452038
13735_0:000b72	236190at32523	102457082
13735_0:000b76	241443at32523	102458168
13735_0:000b78	144001at32523	102454682
13735_0:000b79	289179at32523	102451792
13735_0:000b7c	144301at32523	102453372
13735_0:000b7f	32549at32523	102459363
13735_0:000b81	49624at32523	102459127
13735_0:000b84	163226at32523	102459759
13735_0:000b8c	62495at32523	102461204
13735_0:000b8f	124180at32523	102464040
