"gene","distance","pval"
"103627at32523",121.621331943623,0.970938111912621
"103631at32523",88.600335345354,0.999992887074798
"103634at32523",12.5145324553087,1
"103667at32523",103.106468733734,0.999312467427581
"103676at32523",67.9638011643237,0.999999999741913
"103716at32523",35.0237806830378,1
"103791at32523",138.304134105197,0.796782454061624
"103953at32523",13.9960719425554,1
"103961at32523",66.5447344887074,0.999999999897182
"104070at32523",343.128089781395,1.27060605331483e-16
"104098at32523",75.0132413681371,0.999999984327289
"104246at32523",91.1009021843933,0.999982247839062
"10430at32523",48.4282402116945,1
"104336at32523",24.2886119789744,1
"104339at32523",438.916272864022,2.04107418830398e-29
"104395at32523",16.2136167588553,1
"104547at32523",4.94139911908574,1
"104554at32523",87.0440727662245,0.999996093228646
"10459at32523",2.11130792494213,1
"104661at32523",6.96368125895773,1
"104828at32523",352.650906607242,8.41285013493999e-18
"104841at32523",13.274696665222,1
"104853at32523",72.5363966796275,0.99999999597519
"104932at32523",26.9999706640089,1
"104943at32523",61.4298457674596,0.999999999997234
"105040at32523",18.561045739575,1
"105125at32523",5.56144808385396,1
"105130at32523",66.6427071750821,0.999999999890317
"105251at32523",295.570957052866,3.93678867349781e-11
"105267at32523",13.0038649797446,1
"105327at32523",12.6281407438161,1
"105411at32523",104.545139054751,0.999009012575259
"105469at32523",108.375148151171,0.997546994439087
"105477at32523",65.3867449208699,0.999999999952705
"105574at32523",32.832441237889,1
"105588at32523",63.8430176008533,0.999999999983818
"105594at32523",45.742823037182,1
"105768at32523",22.90020236247,1
"10578at32523",13.5250471466418,1
"10583at32523",10.2735843294923,1
"105855at32523",12.3057635700942,1
"105863at32523",13.7213157288947,1
"105916at32523",1249.413967799,3.07820253613294e-171
"105917at32523",340.752881871909,2.47924485127085e-16
"105920at32523",194.209370655646,0.0135641143215075
"106036at32523",60.0772807204099,0.999999999999023
"106057at32523",370.410312437481,4.62077034338745e-20
"106122at32523",83.6341247236822,0.999999034916683
"106313at32523",24.333419312599,1
"106366at32523",4.59912363954047,1
"106408at32523",168.397451399581,0.186700679573501
"106441at32523",59.1339438975099,0.999999999999538
"106522at32523",15.7802790960665,1
"106549at32523",116.292237514703,0.987952334660613
"106672at32523",47.4310974742086,1
"106709at32523",547.857003546142,7.6011933888469e-46
"106726at32523",66.31193027616,0.999999999911879
"106804at32523",22.3948558576215,1
"106876at32523",38.0021724517919,1
"106882at32523",1.95532845596941,1
"106895at32523",47.8241163026278,1
"106918at32523",399.385432348215,6.63432413066315e-24
"106954at32523",10.5816817465448,1
"106993at32523",477.58112214987,4.61761172090486e-35
"107047at32523",17.3912267822568,1
"107049at32523",51.9999098168283,0.999999999999999
"107057at32523",145.296711882924,0.658986353967268
"107180at32523",147.791670486853,0.60370766360662
"107207at32523",54.6709359363331,0.99999999999999
"107213at32523",1150.44098628237,1.90142703022958e-152
"10722at32523",4.73925409962934,1
"107250at32523",20.9014433668137,1
"107280at32523",43.0393485520495,1
"107285at32523",43.2365237754553,1
"107381at32523",22.4340114642103,1
"107411at32523",276.129039503108,4.14191948382724e-09
"107444at32523",19.4950388898358,1
"107460at32523",15.8667710634139,1
"107469at32523",242.531761553774,5.39643678679618e-06
