"gene","distance","pval"
"102529at32523",607.587629608282,1.94039735387359e-55
"102595at32523",88.7240212607,0.999992547641463
"102616at32523",31.5156349350383,1
"102721at32523",500.213637486951,1.81622420156632e-38
"102767at32523",20.0071030629923,1
"102781at32523",104.695170544876,0.998971335054294
"102875at32523",15.3807875976402,1
"102905at32523",32.6118124177365,1
"103094at32523",48.6373199876726,1
"103109at32523",104.514506893877,0.999016552257296
"103160at32523",125.136134423085,0.951805292569049
"103182at32523",197.714768463016,0.00866084426776339
"10325at32523",17.4047568034854,1
"103286at32523",39.8010058662441,1
"103318at32523",190.721244311017,0.0207568522521458
"103350at32523",12.9722819560592,1
"103359at32523",23.7964508452392,1
"10341at32523",219.268451663118,0.000355832975910719
"103448at32523",88.2215763268218,0.999993838946818
"103579at32523",483.652889302826,5.72427369401812e-36
"103602at32523",29.8054297715145,1
"103627at32523",155.029270399865,0.438971417150213
"103631at32523",91.0243242664017,0.999982723391278
"103634at32523",19.7687102059884,1
"103667at32523",151.247831069236,0.52487411282288
"103676at32523",113.965107193645,0.992169475062739
"103716at32523",38.8129988196084,1
"103791at32523",394.765291514519,2.79608214113502e-23
"103953at32523",19.7430674589124,1
"103961at32523",76.8810619410101,0.999999958647126
"104070at32523",544.673115179495,2.41044171233044e-45
"104098at32523",21.913089105844,1
"104246at32523",110.203839750283,0.996340243988889
"10430at32523",56.1200798992329,0.999999999999963
"104336at32523",24.2310373329795,1
"104339at32523",603.411383375597,9.3235273472684e-55
"104395at32523",28.549442800591,1
"104547at32523",8.41139759192099,1
"104554at32523",132.641372365399,0.881258638573586
"10459at32523",4.59412567674003,1
"104661at32523",12.1806233689383,1
"104828at32523",263.803362004883,6.6056356719645e-08
"104841at32523",45.7938565223135,1
"104853at32523",140.221673212591,0.762226302192634
"104932at32523",23.9060180945662,1
"104943at32523",141.228933820559,0.742995974245663
"105040at32523",14.5143052026709,1
"105125at32523",8.40682765867804,1
"105130at32523",31.3283935908653,1
"105251at32523",393.823683271142,3.74404821000046e-23
"105267at32523",38.8645465329871,1
"105327at32523",13.8816467673757,1
"105411at32523",139.857018695037,0.769010524892053
"105469at32523",42.5183453473432,1
"105477at32523",188.633613251485,0.0265041025238214
"105574at32523",30.7195146206591,1
"105588at32523",74.6992185378266,0.99999998674657
"105594at32523",161.875538508162,0.296037728523765
"105768at32523",36.8359092800252,1
"10578at32523",36.0120590226481,1
"10583at32523",15.1331412208372,1
"105855at32523",20.1842567995806,1
"105863at32523",13.4964294304861,1
"105916at32523",1449.53922018412,7.8532415338855e-210
"105917at32523",652.044622535834,8.71087797142483e-63
"105920at32523",29.43253376585,1
"106036at32523",231.386152316604,4.38566777093747e-05
"106057at32523",122.875080973682,0.964963510347041
"106122at32523",66.862334782593,0.999999999873292
"106313at32523",38.1733591603741,1
"106366at32523",8.76961474370464,1
"106408at32523",57.8857644854477,0.999999999999833
"106441at32523",205.77868991566,0.00285603240635739
"106522at32523",15.3900496878859,1
"106549at32523",164.648040328919,0.245859933256927
"106672at32523",142.754310751793,0.712593465474072
"106709at32523",312.640870428983,5.08749655835827e-13
"106726at32523",35.3600951242359,1
"106804at32523",22.1628885174058,1
"106876at32523",52.5265855174159,0.999999999999999
"106882at32523",2.74241390462428,1
"106895at32523",39.4168719058748,1
"106918at32523",43.3034697326462,1
"106954at32523",18.2894724818388,1
"106993at32523",836.351461863104,1.12998564940475e-94
"107047at32523",17.0248288148949,1
"107049at32523",84.059300884253,0.999998843458893
"107057at32523",143.97116334312,0.687348412186414
"107180at32523",459.855601017765,1.90983861346937e-32
"107207at32523",18.0442780350681,1
"107213at32523",1042.07197452169,3.74951563997606e-132
"10722at32523",4.29007721214902,1
"107250at32523",21.8369914554849,1
"107280at32523",31.1577221917954,1
"107285at32523",45.7275796604915,1
"107381at32523",60.6836181909973,0.999999999998435
"107411at32523",59.3778002965009,0.999999999999438
"107444at32523",19.3923638400472,1
"107460at32523",17.181687189119,1
"107469at32523",487.923488608846,1.30897947017082e-36
"107527at32523",29.3065205999725,1
"107601at32523",189.066174826691,0.0252112269884349
"107649at32523",27.7994298392563,1
"107664at32523",21.3411112139081,1
"107685at32523",40.6700668215878,1
"107727at32523",53.5733898960541,0.999999999999996
"107749at32523",125.787869174818,0.947390002440758
"107952at32523",348.160440262517,3.04726024891789e-17
"107978at32523",319.143133506479,9.15521591141984e-14
"108138at32523",50.423120726771,1
"108402at32523",18.4143856941018,1
"108497at32523",197.487056314293,0.00892258480730714
"108666at32523",33.3696500894128,1
"10881at32523",14.4656479996765,1
"108863at32523",20.0701593623559,1
"108898at32523",286.386177794502,3.70267919767705e-10
"108945at32523",11.8490579460941,1
"108973at32523",74.7272469077689,0.99999998654601
"108998at32523",168.378323263758,0.186976151688264
"109060at32523",537.093695865425,3.7220892884915e-44
"109107at32523",110.065847759724,0.996446561577484
"109112at32523",914.742516989115,9.12662479150448e-109
"109155at32523",35.9759869656187,1
"109227at32523",160.346512599896,0.325848770574482
"109312at32523",76.4540263006782,0.999999966740404
"109331at32523",144.325760175818,0.679843525383165
"109347at32523",212.413606739834,0.00106104728455924
"109356at32523",75.2010016511751,0.999999982685644
"109366at32523",676.212732972328,7.5992686618161e-67
"1093at32523",538.064629108539,2.62343662841794e-44
"109425at32523",34.6210985772085,1
"10949at32523",569.255462185061,3.05139341102103e-49
"109514at32523",35.8605772985174,1
"109602at32523",413.219909917284,8.42766533342824e-26
"109624at32523",47.7934138004744,1
"109646at32523",645.956504559414,9.03051293608046e-62
"109650at32523",276.597655048592,3.71714986816192e-09
"109723at32523",34.4746034682412,1
"109835at32523",54.1210341702268,0.999999999999994
"109851at32523",10.0030387239485,1
"109929at32523",64.2861803843591,0.999999999977885
"109971at32523",27.7911318311189,1
"109977at32523",9.39863835563629,1
"110019at32523",31.4187435341893,1
"110140at32523",486.82541510273,1.91396031163392e-36
"110217at32523",18.9125356380882,1
"110242at32523",55.3287422613641,0.999999999999982
"11031at32523",14.2194706754706,1
"110363at32523",25.928599860732,1
"110563at32523",7.19969289885643,1
"110575at32523",14.4264505160197,1
"110615at32523",196.915320320632,0.00961146183416791
"110637at32523",60.1772570463112,0.999999999998944
"110654at32523",136.259352179552,0.830421788587534
"110811at32523",320.085126257839,7.12291616753543e-14
"110876at32523",35.9281680637556,1
"11088at32523",135.221207124462,0.846162468056654
"110921at32523",177.201037423532,0.0878283337363406
"110948at32523",95.4224059039852,0.999924378733194
"111050at32523",297.277113068264,2.57584330562655e-11
"111173at32523",12.3902915593632,1
"111184at32523",282.240679452257,9.93950551615815e-10
"111190at32523",436.63398009278,4.32191921461407e-29
"111285at32523",60.4215308374869,0.999999999998722
"111303at32523",9.91492527709732,1
"111371at32523",93.229560537208,0.999963017723718
"111464at32523",81.6236892776176,0.999999600688701
"111475at32523",27.1646291920205,1
"111650at32523",80.3521015524258,0.99999977679748
"111843at32523",82.4275124943022,0.999999428682843
"11195at32523",51.3343734049075,1
"112209at32523",290.052982163887,1.52647890706698e-10
"112288at32523",138.009441507114,0.801840763276057
"112312at32523",30.4240203154459,1
"112317at32523",181.370828411757,0.0583486140106551
"112394at32523",53.9256903359305,0.999999999999995
"112399at32523",17.7424265809635,1
"112421at32523",55.857009160279,0.999999999999971
"112434at32523",96.2881443395213,0.999900795757451
"112465at32523",369.659090954578,5.77914316378013e-20
"11278at32523",313.265615948122,4.32042260101124e-13
"112833at32523",19.867225034006,1
"112843at32523",79.2771504660103,0.999999865491072
"112844at32523",20.8445014490426,1
"112998at32523",230.925850797102,4.76586240684391e-05
"11302at32523",32.4680062512332,1
"113035at32523",22.7937102394712,1
"113062at32523",339.394557547638,3.62781277044752e-16
"113162at32523",74.192666559691,0.999999989915812
"113181at32523",43.1435040585564,1
"113182at32523",26.8768335123775,1
"113206at32523",23.4530438008063,1
"113306at32523",105.405733416533,0.99877499652321
"113548at32523",26.8747294451769,1
"113557at32523",38.80501883,1
"113562at32523",47.6892957950668,1
"113563at32523",12.0383434611703,1
"113567at32523",108.687551800288,0.997369653802661
"113607at32523",438.726742453457,2.17244740916329e-29
"113678at32523",39.4468808226145,1
"113787at32523",173.516589012801,0.122638382719745
"113921at32523",240.663379440587,7.75010816703393e-06
"113971at32523",88.8746657810417,0.999992113826075
"113987at32523",262.36286183201,9.0396505001123e-08
"114091at32523",400.58001713761,4.5662191292874e-24
"114099at32523",193.464324372207,0.0148808351085815
"114228at32523",21.3111298660904,1
"114246at32523",68.9066769417893,0.999999999532967
"114354at32523",8.2478540941349,1
"114384at32523",160.527860081956,0.322239251542641
"114393at32523",235.016162474013,2.25490632469243e-05
"114439at32523",21.7612521889119,1
"114448at32523",14.5453669479002,1
"114451at32523",22.2507879321098,1
"114457at32523",22.7834590349917,1
"11446at32523",303.700229167618,5.1068207779087e-12
"114567at32523",71.3587496703143,0.999999997954874
"114654at32523",315.570806799382,2.3580021997273e-13
"114659at32523",230.207313548142,5.42328310722609e-05
"114689at32523",61.1480858675864,0.999999999997766
"114733at32523",59.9095490703045,0.999999999999144
"114777at32523",28.6843659704559,1
"114783at32523",66.1190153512453,0.999999999922507
"114808at32523",117.399095303213,0.985361846157068
"114923at32523",16.7742623013361,1
"115074at32523",70.826538818958,0.999999998504057
"115119at32523",80.9355030482035,0.99999970785302
"115135at32523",23.7618067520106,1
"115212at32523",79.3333539929618,0.99999986183465
"11525at32523",366.948035287078,1.29228237197148e-19
"115278at32523",13.8951885319643,1
"115292at32523",94.4755715114081,0.999944196805098
"115348at32523",30.8038975886683,1
"115359at32523",53.4157254488475,0.999999999999997
"115468at32523",373.454156023772,1.8609604910966e-20
"115484at32523",28.1198317572221,1
"115499at32523",709.003723271598,2.02901793406062e-72
"115587at32523",220.459179109885,0.00029228665666298
"115644at32523",56.9607407155812,0.999999999999924
"115678at32523",35.3122699698693,1
"115729at32523",131.680812483523,0.892855618391781
"115764at32523",57.0670883989516,0.999999999999916
"115831at32523",33.0472417742492,1
"116004at32523",76.5193542933823,0.999999965608324
"116031at32523",18.1981534118098,1
"116059at32523",80.1188540478095,0.999999799793455
"116128at32523",537.195144872102,3.58854671580302e-44
"116132at32523",584.197403163269,1.21762131670649e-51
"116183at32523",8.33099740741371,1
"116192at32523",331.709769562315,3.0566634070658e-15
"116216at32523",320.960851262113,5.63727341626187e-14
"116236at32523",35.3901204556738,1
"116298at32523",92.6799095097063,0.999969285427385
"116407at32523",325.668166723062,1.58845525930421e-14
"116463at32523",76.8102901520127,0.999999960106686
"116464at32523",60.8817406595975,0.999999999998178
"116517at32523",104.205457740207,0.999089807298276
"116561at32523",217.766299405172,0.000454749867609666
"116569at32523",167.859187565987,0.19455630999593
"116580at32523",29.3978966276874,1
"116598at32523",14.875890131823,1
"116657at32523",122.792972968003,0.965382090508003
"116676at32523",459.676839695382,2.02836674710436e-32
"116722at32523",30.5385734819297,1
"116780at32523",30.1217754278596,1
"116784at32523",285.059250856789,5.08758062180181e-10
"116885at32523",151.085445699629,0.528597623586156
"117055at32523",81.093331241269,0.999999685997458
"117071at32523",30.4705792315491,1
"117158at32523",466.760628144142,1.85015591432735e-33
"117316at32523",324.450311202245,2.20768631202844e-14
"117333at32523",55.5472806225102,0.999999999999978
"117352at32523",18.4269674397677,1
"117356at32523",123.282970460343,0.962825094085786
"117499at32523",78.1425461061353,0.999999922367146
"1174at32523",25.3780106510208,1
"11754at32523",27.0857599651478,1
"117562at32523",77.450078660674,0.999999944923125
"117571at32523",324.938425756417,1.93504855141585e-14
"117710at32523",47.5708531807566,1
"117717at32523",209.263382321813,0.00171232506463125
"11773at32523",41.8496169195869,1
"118030at32523",517.49580602483,4.11138078164087e-41
"118055at32523",19.8900151681702,1
"118167at32523",21.3201826338006,1
"118231at32523",46.8072339307299,1
"118239at32523",106.849355197835,0.998270910626917
"118292at32523",14.2278328975327,1
"118318at32523",144.696226804973,0.671936813756936
"118322at32523",397.41905847127,1.22526109841264e-23
"118504at32523",119.745198629482,0.97833677054627
"11855at32523",35.0021334891887,1
"118610at32523",69.7471526916737,0.999999999217036
"118640at32523",22.2646545845589,1
"118658at32523",84.0239886436613,0.999998860628345
"118790at32523",323.530193476345,2.82912343489571e-14
"118813at32523",9.95613316025846,1
"118839at32523",1317.47737799302,2.78441128376831e-184
"118895at32523",179.535978503268,0.0701347278962733
"118901at32523",401.86181567829,3.05600647142558e-24
"118907at32523",52.7477909826824,0.999999999999998
"118915at32523",14.5590004756641,1
"118955at32523",24.9029400886574,1
"118979at32523",87.1237476802841,0.999995969200782
"11900at32523",171.998707650779,0.139654754617112
"119090at32523",15.1166931483817,1
"119112at32523",37.175523430428,1
"119144at32523",628.265463266023,7.770406468636e-59
"119217at32523",168.54658911571,0.184562215754499
