"","Gene","Species"
"296","emySub","244174at32523"
"297","gopAga","244174at32523"
"298","malTer","244174at32523"
"299","mesTub","244174at32523"
"300","pelCas","244174at32523"
"301","podExp","244174at32523"
"302","cheSer","249219at32523"
"303","cheMyd","251245at32523"
"304","derCor","251245at32523"
"305","gopAga","251245at32523"
"306","carIns","251873at32523"
"307","pelSin","251873at32523"
"308","podExp","251873at32523"
"309","podExp","258205at32523"
"310","cuoAmb","259026at32523"
"311","podExp","26466at32523"
"312","cheMyd","265834at32523"
"313","cuoAmb","265834at32523"
"314","emySub","265834at32523"
"315","gopAga","265834at32523"
"316","malTer","265834at32523"
"317","mesTub","265834at32523"
"318","pelCas","265834at32523"
"319","pelSin","265834at32523"
"320","podExp","265834at32523"
"321","carIns","267472at32523"
"322","cheAbi","267472at32523"
"323","cheMyd","267472at32523"
"324","cheSer","267472at32523"
"325","chrPic","267472at32523"
"326","derCor","267472at32523"
"327","derMaw","267472at32523"
"328","gopAga","267472at32523"
"329","plaMeg","267472at32523"
"330","carIns","274390at32523"
"331","podExp","274390at32523"
"332","carIns","275846at32523"
"333","cheAbi","275846at32523"
"334","cheMyd","275846at32523"
"335","cheSer","275846at32523"
"336","chrPic","275846at32523"
"337","cuoAmb","275846at32523"
"338","cuoMcc","275846at32523"
"339","derCor","275846at32523"
"340","derMaw","275846at32523"
"341","malTer","275846at32523"
"342","mesTub","275846at32523"
"343","pelCas","275846at32523"
"344","pelSin","275846at32523"
"345","plaMeg","275846at32523"
"346","podExp","275846at32523"
"347","terMex","275846at32523"
"348","cuoAmb","279702at32523"
"349","cheAbi","282407at32523"
"350","carIns","282898at32523"
"351","cheAbi","282898at32523"
"352","cheMyd","282898at32523"
"353","cheSer","282898at32523"
"354","chrPic","282898at32523"
"355","cuoAmb","282898at32523"
"356","cuoMcc","282898at32523"
"357","derCor","282898at32523"
"358","derMaw","282898at32523"
"359","emySub","282898at32523"
"360","gopAga","282898at32523"
"361","malTer","282898at32523"
"362","mesTub","282898at32523"
"363","pelCas","282898at32523"
"364","pelSin","282898at32523"
"365","plaMeg","282898at32523"
"366","podExp","282898at32523"
"367","cheAbi","283371at32523"
"368","cuoMcc","283371at32523"
"369","plaMeg","283371at32523"
"370","malTer","283521at32523"
"371","emySub","284008at32523"
"372","gopAga","284008at32523"
"373","malTer","284008at32523"
"374","plaMeg","284008at32523"
"375","podExp","284008at32523"
"376","terMex","284008at32523"
"377","cheSer","294083at32523"
"378","derCor","294083at32523"
"379","malTer","294083at32523"
"380","pelCas","294083at32523"
"381","cheAbi","294624at32523"
"382","cheMyd","294624at32523"
"383","cuoAmb","294624at32523"
"384","derCor","294624at32523"
"385","emySub","294624at32523"
"386","gopAga","294624at32523"
"387","malTer","294624at32523"
"388","mesTub","294624at32523"
"389","pelCas","294624at32523"
"390","podExp","294624at32523"
"391","terMex","294624at32523"
"392","pelSin","298204at32523"
"393","pelSin","299063at32523"
"394","cheAbi","301105at32523"
"395","cuoMcc","301105at32523"
"396","gopAga","301105at32523"
"397","malTer","30310at32523"
"398","podExp","30310at32523"
"399","mesTub","308580at32523"
"400","carIns","308747at32523"
"401","cheAbi","308747at32523"
"402","cheMyd","308747at32523"
"403","cuoAmb","308747at32523"
"404","cuoMcc","308747at32523"
"405","derCor","308747at32523"
"406","emySub","308747at32523"
"407","mesTub","308747at32523"
"408","pelCas","308747at32523"
"409","plaMeg","308747at32523"
"410","podExp","308747at32523"
"411","terMex","308747at32523"
"412","carIns","34372at32523"
"413","cheAbi","34372at32523"
"414","cheMyd","34372at32523"
"415","cheSer","34372at32523"
"416","chrPic","34372at32523"
"417","cuoAmb","34372at32523"
"418","derCor","34372at32523"
"419","derMaw","34372at32523"
"420","emySub","34372at32523"
"421","gopAga","34372at32523"
"422","malTer","34372at32523"
"423","mesTub","34372at32523"
"424","pelCas","34372at32523"
"425","pelSin","34372at32523"
"426","plaMeg","34372at32523"
"427","podExp","34372at32523"
"428","terMex","34372at32523"
"429","cheAbi","3576at32523"
"430","cheMyd","3576at32523"
"431","cheSer","3576at32523"
"432","chrPic","3576at32523"
"433","cuoMcc","3576at32523"
"434","derCor","3576at32523"
"435","derMaw","3576at32523"
"436","emySub","3576at32523"
"437","gopAga","3576at32523"
"438","mesTub","3576at32523"
"439","pelCas","3576at32523"
"440","pelSin","3576at32523"
"441","plaMeg","3576at32523"
"442","podExp","3576at32523"
"443","terMex","3576at32523"
"444","cheAbi","44174at32523"
"445","cheMyd","44174at32523"
"446","cheSer","44174at32523"
"447","chrPic","44174at32523"
"448","cuoAmb","44174at32523"
"449","cuoMcc","44174at32523"
"450","derCor","44174at32523"
"451","derMaw","44174at32523"
"452","emySub","44174at32523"
"453","gopAga","44174at32523"
"454","malTer","44174at32523"
"455","pelCas","44174at32523"
"456","pelSin","44174at32523"
"457","plaMeg","44174at32523"
"458","podExp","44174at32523"
"459","terMex","44174at32523"
"460","cheMyd","45054at32523"
"461","cheSer","45054at32523"
"462","derCor","45054at32523"
"463","gopAga","45054at32523"
"464","pelCas","45054at32523"
"465","pelSin","45054at32523"
"466","cheMyd","64249at32523"
"467","chrPic","64249at32523"
"468","cuoMcc","64249at32523"
"469","mesTub","64249at32523"
"470","plaMeg","64249at32523"
"471","podExp","64249at32523"
"472","terMex","64249at32523"
"473","cheAbi","7066at32523"
"474","cuoMcc","7066at32523"
"475","gopAga","7066at32523"
"476","mesTub","7066at32523"
"477","pelCas","7066at32523"
"478","pelSin","7066at32523"
"479","carIns","74571at32523"
"480","cheMyd","74571at32523"
"481","cuoAmb","74571at32523"
"482","cuoMcc","74571at32523"
"483","gopAga","74571at32523"
"484","malTer","74571at32523"
"485","mesTub","74571at32523"
"486","pelCas","74571at32523"
"487","pelSin","74571at32523"
"488","plaMeg","74571at32523"
"489","terMex","74571at32523"
"490","pelSin","82211at32523"
"491","carIns","99669at32523"
"492","cheAbi","99669at32523"
"493","cheSer","99669at32523"
"494","cuoMcc","99669at32523"
"495","emySub","99669at32523"
"496","gopAga","99669at32523"
"497","malTer","99669at32523"
"498","pelCas","99669at32523"
"499","pelSin","99669at32523"
"500","plaMeg","99669at32523"
"501","terMex","99669at32523"
