"","Gene","Species"
"467","cuoMcc","284008at32523"
"468","derCor","284008at32523"
"469","derMaw","284008at32523"
"470","mesTub","284008at32523"
"471","pelCas","284008at32523"
"472","pelSin","284008at32523"
"473","carIns","285773at32523"
"474","cheAbi","285773at32523"
"475","cheSer","285773at32523"
"476","chrPic","285773at32523"
"477","derCor","285773at32523"
"478","derMaw","285773at32523"
"479","emySub","285773at32523"
"480","mesTub","285773at32523"
"481","plaMeg","285773at32523"
"482","podExp","285773at32523"
"483","cheMyd","29093at32523"
"484","chrPic","29093at32523"
"485","derCor","29093at32523"
"486","derMaw","29093at32523"
"487","emySub","29093at32523"
"488","malTer","29093at32523"
"489","pelSin","29093at32523"
"490","terMex","29093at32523"
"491","carIns","291010at32523"
"492","cheAbi","291010at32523"
"493","cheMyd","291010at32523"
"494","cheSer","291010at32523"
"495","chrPic","291010at32523"
"496","cuoAmb","291010at32523"
"497","cuoMcc","291010at32523"
"498","derCor","291010at32523"
"499","derMaw","291010at32523"
"500","emySub","291010at32523"
"501","gopAga","291010at32523"
"502","malTer","291010at32523"
"503","pelCas","291010at32523"
"504","plaMeg","291010at32523"
"505","podExp","291010at32523"
"506","terMex","291010at32523"
"507","cuoAmb","292094at32523"
"508","cheAbi","294083at32523"
"509","cheSer","294083at32523"
"510","derCor","294083at32523"
"511","derMaw","294083at32523"
"512","gopAga","294083at32523"
"513","malTer","294083at32523"
"514","mesTub","294083at32523"
"515","pelCas","294083at32523"
"516","plaMeg","294083at32523"
"517","cheAbi","294624at32523"
"518","cheMyd","294624at32523"
"519","chrPic","294624at32523"
"520","cuoAmb","294624at32523"
"521","derCor","294624at32523"
"522","derMaw","294624at32523"
"523","emySub","294624at32523"
"524","gopAga","294624at32523"
"525","malTer","294624at32523"
"526","mesTub","294624at32523"
"527","pelCas","294624at32523"
"528","podExp","294624at32523"
"529","terMex","294624at32523"
"530","pelCas","298204at32523"
"531","cheAbi","30406at32523"
"532","cheMyd","30406at32523"
"533","chrPic","30406at32523"
"534","cuoAmb","30406at32523"
"535","derCor","30406at32523"
"536","gopAga","30406at32523"
"537","malTer","30406at32523"
"538","plaMeg","30406at32523"
"539","terMex","30406at32523"
"540","cheMyd","305143at32523"
"541","malTer","305143at32523"
"542","carIns","308747at32523"
"543","cheAbi","308747at32523"
"544","cheMyd","308747at32523"
"545","cuoAmb","308747at32523"
"546","cuoMcc","308747at32523"
"547","derCor","308747at32523"
"548","emySub","308747at32523"
"549","mesTub","308747at32523"
"550","pelCas","308747at32523"
"551","plaMeg","308747at32523"
"552","podExp","308747at32523"
"553","terMex","308747at32523"
"554","cuoMcc","32130at32523"
"555","malTer","32130at32523"
"556","carIns","34372at32523"
"557","cheAbi","34372at32523"
"558","cheMyd","34372at32523"
"559","cheSer","34372at32523"
"560","chrPic","34372at32523"
"561","cuoAmb","34372at32523"
"562","derCor","34372at32523"
"563","derMaw","34372at32523"
"564","emySub","34372at32523"
"565","gopAga","34372at32523"
"566","malTer","34372at32523"
"567","mesTub","34372at32523"
"568","pelCas","34372at32523"
"569","pelSin","34372at32523"
"570","plaMeg","34372at32523"
"571","podExp","34372at32523"
"572","terMex","34372at32523"
"573","cheAbi","3576at32523"
"574","cheMyd","3576at32523"
"575","cheSer","3576at32523"
"576","chrPic","3576at32523"
"577","cuoMcc","3576at32523"
"578","derCor","3576at32523"
"579","derMaw","3576at32523"
"580","emySub","3576at32523"
"581","gopAga","3576at32523"
"582","mesTub","3576at32523"
"583","pelCas","3576at32523"
"584","pelSin","3576at32523"
"585","plaMeg","3576at32523"
"586","podExp","3576at32523"
"587","terMex","3576at32523"
"588","cheAbi","44174at32523"
"589","cheMyd","44174at32523"
"590","cheSer","44174at32523"
"591","chrPic","44174at32523"
"592","cuoAmb","44174at32523"
"593","cuoMcc","44174at32523"
"594","derCor","44174at32523"
"595","derMaw","44174at32523"
"596","emySub","44174at32523"
"597","gopAga","44174at32523"
"598","malTer","44174at32523"
"599","pelCas","44174at32523"
"600","pelSin","44174at32523"
"601","plaMeg","44174at32523"
"602","podExp","44174at32523"
"603","terMex","44174at32523"
"604","cuoAmb","48547at32523"
"605","cuoMcc","48547at32523"
"606","carIns","53386at32523"
"607","cheAbi","53386at32523"
"608","cheMyd","53386at32523"
"609","cheSer","53386at32523"
"610","chrPic","53386at32523"
"611","cuoAmb","53386at32523"
"612","cuoMcc","53386at32523"
"613","derCor","53386at32523"
"614","emySub","53386at32523"
"615","gopAga","53386at32523"
"616","pelCas","53386at32523"
"617","pelSin","53386at32523"
"618","plaMeg","53386at32523"
"619","podExp","53386at32523"
"620","chrPic","62240at32523"
"621","malTer","62240at32523"
"622","plaMeg","62240at32523"
"623","cheMyd","6290at32523"
"624","chrPic","6290at32523"
"625","cuoAmb","6290at32523"
"626","malTer","6290at32523"
"627","terMex","6290at32523"
"628","cheAbi","64249at32523"
"629","cheMyd","64249at32523"
"630","chrPic","64249at32523"
"631","cuoMcc","64249at32523"
"632","mesTub","64249at32523"
"633","plaMeg","64249at32523"
"634","podExp","64249at32523"
"635","terMex","64249at32523"
"636","cheMyd","69006at32523"
"637","cuoAmb","69006at32523"
"638","cheAbi","7066at32523"
"639","cuoAmb","7066at32523"
"640","cuoMcc","7066at32523"
"641","gopAga","7066at32523"
"642","mesTub","7066at32523"
"643","pelCas","7066at32523"
"644","pelSin","7066at32523"
"645","plaMeg","7066at32523"
"646","carIns","74571at32523"
"647","cheMyd","74571at32523"
"648","cuoAmb","74571at32523"
"649","cuoMcc","74571at32523"
"650","gopAga","74571at32523"
"651","malTer","74571at32523"
"652","mesTub","74571at32523"
"653","pelCas","74571at32523"
"654","pelSin","74571at32523"
"655","plaMeg","74571at32523"
"656","terMex","74571at32523"
"657","carIns","7966at32523"
"658","cheAbi","7966at32523"
"659","cheMyd","7966at32523"
"660","cheSer","7966at32523"
"661","chrPic","7966at32523"
"662","cuoAmb","7966at32523"
"663","cuoMcc","7966at32523"
"664","derCor","7966at32523"
"665","emySub","7966at32523"
"666","gopAga","7966at32523"
"667","malTer","7966at32523"
"668","mesTub","7966at32523"
"669","pelCas","7966at32523"
"670","pelSin","7966at32523"
"671","plaMeg","7966at32523"
"672","podExp","7966at32523"
"673","terMex","7966at32523"
"674","cheAbi","82211at32523"
"675","cheSer","82211at32523"
"676","cuoMcc","82211at32523"
"677","derMaw","82211at32523"
"678","gopAga","82211at32523"
"679","pelSin","82211at32523"
"680","carIns","82692at32523"
"681","cheAbi","82692at32523"
"682","cheMyd","82692at32523"
"683","cheSer","82692at32523"
"684","chrPic","82692at32523"
"685","cuoMcc","82692at32523"
"686","derCor","82692at32523"
"687","derMaw","82692at32523"
"688","emySub","82692at32523"
"689","gopAga","82692at32523"
"690","mesTub","82692at32523"
"691","pelCas","82692at32523"
"692","pelSin","82692at32523"
"693","terMex","82692at32523"
"694","cheAbi","88654at32523"
"695","cuoAmb","88654at32523"
"696","cuoMcc","88654at32523"
"697","gopAga","88654at32523"
"698","plaMeg","88654at32523"
"699","malTer","99669at32523"
"700","plaMeg","99669at32523"
