"n","species","busco_id"
"466","cuoMcc","284008at32523"
"467","derCor","284008at32523"
"468","derMaw","284008at32523"
"469","mesTub","284008at32523"
"470","pelCas","284008at32523"
"471","pelSin","284008at32523"
"472","carIns","285773at32523"
"473","cheAbi","285773at32523"
"474","cheSer","285773at32523"
"475","chrPic","285773at32523"
"476","derCor","285773at32523"
"477","derMaw","285773at32523"
"478","emySub","285773at32523"
"479","mesTub","285773at32523"
"480","plaMeg","285773at32523"
"481","podExp","285773at32523"
"482","cheMyd","29093at32523"
"483","chrPic","29093at32523"
"484","derCor","29093at32523"
"485","derMaw","29093at32523"
"486","emySub","29093at32523"
"487","malTer","29093at32523"
"488","pelSin","29093at32523"
"489","terMex","29093at32523"
"490","carIns","291010at32523"
"491","cheAbi","291010at32523"
"492","cheMyd","291010at32523"
"493","cheSer","291010at32523"
"494","chrPic","291010at32523"
"495","cuoAmb","291010at32523"
"496","cuoMcc","291010at32523"
"497","derCor","291010at32523"
"498","derMaw","291010at32523"
"499","emySub","291010at32523"
"500","gopAga","291010at32523"
"501","malTer","291010at32523"
"502","pelCas","291010at32523"
"503","plaMeg","291010at32523"
"504","podExp","291010at32523"
"505","terMex","291010at32523"
"506","cheAbi","294083at32523"
"507","cheSer","294083at32523"
"508","derCor","294083at32523"
"509","derMaw","294083at32523"
"510","gopAga","294083at32523"
"511","malTer","294083at32523"
"512","mesTub","294083at32523"
"513","pelCas","294083at32523"
"514","plaMeg","294083at32523"
"515","cheAbi","294624at32523"
"516","cheMyd","294624at32523"
"517","chrPic","294624at32523"
"518","cuoAmb","294624at32523"
"519","derCor","294624at32523"
"520","derMaw","294624at32523"
"521","emySub","294624at32523"
"522","gopAga","294624at32523"
"523","malTer","294624at32523"
"524","mesTub","294624at32523"
"525","pelCas","294624at32523"
"526","podExp","294624at32523"
"527","terMex","294624at32523"
"528","pelCas","298204at32523"
"529","cheAbi","30406at32523"
"530","cheMyd","30406at32523"
"531","chrPic","30406at32523"
"532","cuoAmb","30406at32523"
"533","derCor","30406at32523"
"534","gopAga","30406at32523"
"535","malTer","30406at32523"
"536","plaMeg","30406at32523"
"537","terMex","30406at32523"
"538","cheMyd","305143at32523"
"539","carIns","308747at32523"
"540","cheAbi","308747at32523"
"541","cheMyd","308747at32523"
"542","cuoAmb","308747at32523"
"543","cuoMcc","308747at32523"
"544","derCor","308747at32523"
"545","emySub","308747at32523"
