"busco_id","pval"
"178523at32523",1.62047475899651e-71
"181827at32523",1.176068114299e-120
"181908at32523",7.98603853743443e-216
"184953at32523",1.27546550848764e-131
"185471at32523",6.55434371242845e-82
"185680at32523",0
"185747at32523",2.09109723842278e-150
"189244at32523",2.10496845638753e-207
"190153at32523",8.08815592024474e-90
"191359at32523",8.00954555244115e-88
"19303at32523",7.31115672881695e-88
"193873at32523",5.46513038881212e-234
"194240at32523",3.26368715514757e-62
"194583at32523",2.24228473498156e-55
"198372at32523",9.95710975479583e-60
"199010at32523",2.67835756776828e-70
"200031at32523",1.41854561260369e-141
"200625at32523",7.71858354341548e-74
"20131at32523",1.77254867080719e-133
"203233at32523",0
"203712at32523",3.93056644281571e-314
"204379at32523",1.3177329137454e-70
"209160at32523",0
"212618at32523",1.95698174575604e-235
"213024at32523",1.47026070734531e-57
"213031at32523",4.72641354617734e-178
"216370at32523",0
"218681at32523",2.2730699857728e-93
"219563at32523",9.74104160716533e-59
"221129at32523",2.88283684925203e-78
"221733at32523",1.92250062799355e-124
"224357at32523",5.05900793111332e-196
"227540at32523",2.04061990380738e-99
"228553at32523",3.18007657326211e-59
"229340at32523",7.09314560298897e-282
"22945at32523",1.74829753112511e-158
"230581at32523",1.45367711824431e-181
"232356at32523",7.12487797011174e-57
"234435at32523",2.48116275021695e-65
"235309at32523",0
"237414at32523",0
"237758at32523",3.17195918751274e-135
"238128at32523",0
"238813at32523",1.21148000108968e-55
"238978at32523",0
"239395at32523",7.29666629924461e-59
"242028at32523",8.45400107136058e-63
"242587at32523",9.80877572890451e-270
"24340at32523",0
"244174at32523",3.786192568041e-243
"245334at32523",0
"245369at32523",1.09906917411399e-184
"246490at32523",1.47971569786958e-87
"248117at32523",1.07640732926397e-79
"249113at32523",8.72145846334022e-166
"249397at32523",5.79878427986365e-285
"250210at32523",0
"25058at32523",4.17867363754567e-87
"250658at32523",1.39152250482138e-170
"250844at32523",5.00815171533598e-207
"250976at32523",3.31279049423212e-294
"253461at32523",1.79287559444208e-224
"255236at32523",1.26261263143002e-73
"258013at32523",4.45007777939845e-59
"258710at32523",5.58106410582337e-267
"258823at32523",6.25481809829439e-147
"259072at32523",1.12418066467203e-66
"259972at32523",0
"260366at32523",2.59439745232519e-92
"260465at32523",5.85099027423912e-58
"261311at32523",2.82177151584936e-121
"261823at32523",2.19059602207351e-102
"262363at32523",3.78866260708357e-153
"262489at32523",1.95521667874404e-82
"264559at32523",0
"264604at32523",3.38506762543258e-57
"264963at32523",5.29886161291188e-89
"265834at32523",4.03161911114888e-66
"26652at32523",3.02340121676141e-121
"266561at32523",1.03744217132356e-60
"266685at32523",1.79654619002818e-129
"267472at32523",1.41137468745711e-189
"268020at32523",1.69328272191785e-156
"268229at32523",9.93135719628016e-56
"268617at32523",3.41765415412179e-138
"269194at32523",1.4518772949711e-93
"269887at32523",6.22821646342401e-138
"270101at32523",1.4709572820876e-219
"270878at32523",1.69691393214857e-221
"272286at32523",6.13261557946979e-169
"272864at32523",2.84358984012626e-74
"273646at32523",1.22381609870402e-252
"275814at32523",3.40757248906977e-97
"275846at32523",2.4658900642103e-67
"276880at32523",7.60343825909925e-55
"277625at32523",1.22888653484629e-56
"277704at32523",3.30699987469101e-169
"278087at32523",4.60046940010195e-261
"279702at32523",2.08164571191335e-276
"281238at32523",6.24621060676656e-173
"282407at32523",1.1349260456327e-121
"282456at32523",1.06984173585015e-116
"282804at32523",1.4568572620013e-238
"282898at32523",3.13515105583033e-203
"283327at32523",0
"283371at32523",9.0202521473838e-59
"283406at32523",3.35963244641228e-121
"283660at32523",9.46388332165475e-187
"283734at32523",6.34651497632039e-191
"284008at32523",0
"285773at32523",4.61416198433674e-214
"286258at32523",6.95902281162963e-127
"286638at32523",6.65900846656328e-62
"288030at32523",0
"288646at32523",5.17274544214748e-59
"288836at32523",5.40107974939799e-57
"289741at32523",2.21398047878493e-139
"289897at32523",7.51984289635584e-182
"290126at32523",0
"290488at32523",3.50410770362421e-223
"29093at32523",0
"291010at32523",0
"293248at32523",1.10624102966702e-76
"293635at32523",9.6052701114226e-60
"29403at32523",1.20723252958576e-108
"294083at32523",5.47954452844835e-86
"294624at32523",0
"294765at32523",1.31630970986966e-53
"294828at32523",4.76202040769813e-76
"298305at32523",5.69313214381862e-100
"298630at32523",4.00307310787509e-116
"301474at32523",2.7749907128281e-203
"302602at32523",0
"30318at32523",1.26542730130689e-83
"30406at32523",3.96550876587927e-101
"304171at32523",0
"304654at32523",3.44329379377276e-191
"304750at32523",3.92254638490248e-81
"305143at32523",3.8621318776608e-95
"305735at32523",6.04627165692737e-180
"307031at32523",4.75030683640374e-76
"307163at32523",2.72579661018635e-137
"308747at32523",0
"308798at32523",3.82931153961686e-89
"309030at32523",6.76097796307804e-136
"34372at32523",0
"35526at32523",1.91911610003092e-166
"35682at32523",2.28511918163632e-56
"3576at32523",0
"36743at32523",5.4319885072754e-67
"3768at32523",9.08313529271058e-129
"4188at32523",0
"42007at32523",6.13144112351361e-106
"42538at32523",6.38775708824223e-83
"42951at32523",7.40901561065735e-78
"44174at32523",0
"46651at32523",7.57111368788101e-259
"46714at32523",5.63826327529214e-131
"48547at32523",0
"51849at32523",8.8344022463648e-114
"53009at32523",9.62677883885406e-139
"53386at32523",0
"61513at32523",2.93288004448562e-162
