"gene","pval"
"249113at32523",1.71547176698273e-169
"249397at32523",1.14059486228632e-288
"250210at32523",0
"25058at32523",8.2192636458412e-91
"250658at32523",2.7370623619618e-174
"250844at32523",9.85080982560185e-211
"250976at32523",6.51611033483894e-298
"253461at32523",3.52650588993327e-228
"255236at32523",2.48350242216762e-77
"258013at32523",8.75310342131874e-63
"258710at32523",1.09777028045306e-270
"258823at32523",1.23029466921605e-150
"259072at32523",2.21121295175458e-70
"259972at32523",0
"260366at32523",5.10306343887724e-96
"260465at32523",1.15086354725396e-61
"261311at32523",5.55029802488072e-125
"261823at32523",4.30880413468432e-106
"262363at32523",7.45212943958215e-157
"262489at32523",3.84582352231322e-86
"264559at32523",0
"264604at32523",6.65827621052829e-61
"264963at32523",1.04226231567897e-92
"265834at32523",7.93001398731094e-70
"26652at32523",5.94689460417271e-125
"266561at32523",2.04060222526271e-64
"266685at32523",3.5337257868375e-133
"267472at32523",2.77611071490384e-193
"268020at32523",3.33061117607759e-160
"268229at32523",1.95345342177029e-59
"268617at32523",6.72237245106568e-142
"269194at32523",2.85577752748053e-97
"269887at32523",1.22506224693627e-141
"270101at32523",2.89330700646656e-223
"270878at32523",3.33775360375407e-225
"272286at32523",1.20625798179972e-172
"272864at32523",5.59321369025621e-78
"273646at32523",2.40719138218729e-256
"275814at32523",6.70254226803653e-101
"275846at32523",4.85029516957179e-71
"276880at32523",1.49556220674651e-58
"277625at32523",2.41716470268743e-60
"277704at32523",6.50472044589105e-173
"278087at32523",9.04891699469307e-265
"279702at32523",4.09450376064781e-280
"281238at32523",1.22860161423418e-176
"282407at32523",2.23234863421066e-125
"282456at32523",2.10433071567694e-120
"282804at32523",2.86557289929445e-242
"282898at32523",6.16670152602347e-207
"283327at32523",0
"283371at32523",1.7742431446467e-62
"283406at32523",6.60824635407608e-125
"283660at32523",1.86150340709181e-190
"283734at32523",1.24833103389465e-194
"284008at32523",0
"285773at32523",9.07584969381736e-218
"286258at32523",1.36880857821197e-130
"286638at32523",1.30979710199907e-65
"288030at32523",0
"288646at32523",1.01745583047747e-62
"288836at32523",1.06236816471243e-60
"289741at32523",4.35480031232284e-143
"289897at32523",1.47911937379147e-185
"290126at32523",0
"290488at32523",6.89242270579113e-227
"29093at32523",0
"291010at32523",0
"293248at32523",2.17592649423096e-80
"293635at32523",1.88931355456778e-63
"29403at32523",2.37457224544799e-112
"294083at32523",1.07780183486396e-89
"294624at32523",0
"294765at32523",2.58912216732821e-57
"294828at32523",9.36668058162496e-80
"298305at32523",1.11981356093993e-103
"298630at32523",7.87386527906194e-120
"301474at32523",5.45828228329682e-207
"302602at32523",0
"30318at32523",2.48903875158711e-87
"30406at32523",7.79997790298835e-105
"304171at32523",0
"304654at32523",6.77280447240906e-195
"304750at32523",7.71547282632273e-85
"305143at32523",7.59664019996224e-99
"305735at32523",1.18927451945857e-183
"307031at32523",9.34364051220248e-80
"307163at32523",5.36151968958762e-141
"308747at32523",0
"308798at32523",7.53208406690963e-93
"309030at32523",1.32985404466523e-139
"34372at32523",0
"35526at32523",3.77481530297192e-170
"35682at32523",4.49472695050417e-60
"3576at32523",0
"36743at32523",1.06844777877172e-70
"3768at32523",1.78661197732309e-132
"4188at32523",0
"42007at32523",1.20602697158017e-109
"42538at32523",1.25644317235292e-86
"42951at32523",1.45732014371702e-81
"44174at32523",0
"46651at32523",1.48920410855252e-262
"46714at32523",1.10902110056887e-134
"48547at32523",0
"51849at32523",1.73768730258946e-117
"53009at32523",1.89354422479427e-142
"53386at32523",0
"61513at32523",5.76884351787101e-166
"6290at32523",1.91370181770306e-191
"64483at32523",1.03640741807401e-84
"66052at32523",1.02777705769456e-88
"66945at32523",4.88585066821354e-174
"69006at32523",1.27035624274927e-300
"71760at32523",5.73819501396089e-80
"73843at32523",4.03271282023276e-269
"74208at32523",2.37097150948589e-89
"74571at32523",0
"76356at32523",2.55905061060953e-72
"7966at32523",5.15870560528195e-81
"82211at32523",1.47270113649117e-89
"82692at32523",0
"83777at32523",2.94454606402266e-167
"85385at32523",5.06865195719907e-70
"8575at32523",2.56887037613685e-63
"89208at32523",5.21378242894422e-64
"89794at32523",4.07792182365881e-61
"92893at32523",2.97293885367105e-85
"93628at32523",1.6241151672993e-152
"94528at32523",1.63477447255933e-90
"97153at32523",3.03507591272461e-229
"97583at32523",2.1793685024981e-110
