"gene","pval"
"269758at32523",1.62080685442138e-62
"270377at32523",1.01479375281086e-178
"271071at32523",8.6135408155096e-210
"272037at32523",2.67855820771928e-95
"274027at32523",5.77760926191011e-70
"274390at32523",2.15370637325681e-263
"275846at32523",1.11153924635738e-95
"277011at32523",4.3126153668582e-184
"277586at32523",1.5249657705305e-237
"277821at32523",7.3257892598845e-66
"278185at32523",2.58213191351078e-105
"27867at32523",4.10336682540859e-80
"279422at32523",3.74909202278629e-113
"279702at32523",4.36235931336431e-307
"280182at32523",1.36207703103845e-138
"280970at32523",6.79725125341821e-65
"281334at32523",7.23667989238537e-70
"281797at32523",4.67859847496143e-124
"282407at32523",2.28754056727591e-114
"282898at32523",4.5769455201015e-64
"283371at32523",6.57681863457564e-82
"283521at32523",0
"283776at32523",5.55299409764591e-140
"284008at32523",3.72209281279225e-189
"285079at32523",1.88861030095373e-79
"286324at32523",1.50422917738621e-66
"286462at32523",8.83603254739953e-252
"286526at32523",2.7002341026599e-106
"287872at32523",9.7709242798745e-114
"288247at32523",2.12571155525225e-281
"288598at32523",3.72127955690228e-158
"288923at32523",1.25241810910909e-290
"289300at32523",6.86195056222742e-109
"289585at32523",3.35417858355399e-180
"290216at32523",1.32378758445777e-178
"290236at32523",4.61620186148628e-159
"290800at32523",0
"291175at32523",3.06437675471611e-62
"292094at32523",0
"292234at32523",0
"292567at32523",1.19437605972206e-67
"293250at32523",7.3182498604259e-232
"293308at32523",1.38181698959226e-173
"293881at32523",2.60437702246016e-122
"294083at32523",1.45441732611691e-76
"294091at32523",5.13503796588586e-163
"294369at32523",7.94423087286926e-63
"294624at32523",1.63041663127611e-322
"294828at32523",2.67213429653916e-244
"295641at32523",4.19401754647071e-70
"298204at32523",0
"298237at32523",1.67075707605511e-173
"298305at32523",3.16823451715722e-272
"299063at32523",1.93661130300598e-70
"299214at32523",4.36146030100586e-83
"299480at32523",4.3437357701928e-70
"300642at32523",7.89909164055607e-76
"301105at32523",7.31509488555041e-242
"301845at32523",7.09272394608246e-166
"302602at32523",5.26100758241935e-108
"302721at32523",3.96680422642965e-83
"302930at32523",1.54261873775082e-67
"30310at32523",1.21589636092066e-80
"303212at32523",5.23020077946302e-262
"304134at32523",1.0233523658064e-133
"305138at32523",3.47870732272919e-173
"305590at32523",6.96230330634817e-70
"308580at32523",3.38094364680487e-147
"308747at32523",8.01754758109553e-99
"308939at32523",3.32998827286489e-151
"34372at32523",0
"3576at32523",6.04654560441991e-222
"37749at32523",4.2810142392585e-192
"44174at32523",6.7079727566667e-204
"45054at32523",6.6930485866576e-104
"48483at32523",3.0710267885622e-141
"51621at32523",1.03356635197428e-117
"53386at32523",5.32999287853194e-142
"54120at32523",1.45963209577559e-67
"57153at32523",1.38473028101116e-111
"58163at32523",3.24460654627967e-118
"64249at32523",2.32788981048427e-174
"65318at32523",6.69375129229903e-73
"67681at32523",3.09772521488717e-95
"69006at32523",3.45982863641431e-147
"7066at32523",1.80421288916613e-139
"72515at32523",2.93391432674058e-94
"74571at32523",1.09454642175647e-99
"80601at32523",7.42261381724933e-66
"82211at32523",2.19035357222225e-109
"82692at32523",6.49197770720652e-65
"83722at32523",2.02003943352953e-98
"83849at32523",1.18862242606292e-187
"84445at32523",5.24568268323285e-239
"90019at32523",4.59045813384487e-84
"90752at32523",7.95742637085781e-118
"91147at32523",2.3409931546484e-111
"94920at32523",5.67068968632661e-90
"99669at32523",6.00472521717842e-129
