"gene","pval"
"26466at32523",7.3238291295665e-94
"265332at32523",2.45495607193785e-60
"265834at32523",1.6694206961161e-219
"26652at32523",1.33402543368538e-71
"266685at32523",4.23975257209052e-225
"267251at32523",1.22538489515288e-75
"267472at32523",2.67873792725764e-244
"269758at32523",6.74431677528563e-65
"270101at32523",2.63360567880682e-91
"270878at32523",5.73073198007465e-161
"271071at32523",1.49096097380574e-113
"271339at32523",3.33486572489685e-53
"274390at32523",9.93259521861174e-197
"278185at32523",4.25552647243626e-67
"279702at32523",4.21390830927724e-92
"280809at32523",1.63286693636542e-53
"282898at32523",2.25482739796097e-89
"283371at32523",8.59740271833251e-147
"283521at32523",1.64596343387237e-74
"283734at32523",2.46415960173735e-110
"284008at32523",2.38056656977632e-189
"285282at32523",4.21194282416786e-53
"285773at32523",1.15728625348945e-124
"286324at32523",2.29072221065288e-63
"288030at32523",5.89313269487128e-159
"288598at32523",1.27767903490753e-104
"290800at32523",1.75806813181881e-52
"29093at32523",1.2125658876217e-159
"291010at32523",3.60911688923028e-127
"292094at32523",2.35434104125264e-89
"292234at32523",5.77273102055034e-104
"293248at32523",4.15179403363358e-62
"293808at32523",8.77261595294218e-53
"29403at32523",5.1325193746667e-60
"294083at32523",6.34149971426925e-170
"294624at32523",0
"296274at32523",5.13363213987271e-100
"297345at32523",4.25445556832829e-62
"298204at32523",1.3977237220694e-143
"298237at32523",9.0370540843879e-132
"298305at32523",5.36130451178475e-101
"299063at32523",4.15410299088284e-130
"299480at32523",6.68798316467951e-72
"301474at32523",3.9388121520437e-140
"302394at32523",6.30225562118723e-83
"302602at32523",1.57294255362261e-121
"302721at32523",7.17706889410364e-62
"30406at32523",1.7930906579892e-87
"304134at32523",6.23165126610476e-103
"305138at32523",2.49022761590561e-55
"305143at32523",9.063816765216e-107
"308747at32523",4.78596806398373e-207
"308798at32523",7.43251260544589e-81
"32130at32523",6.62236617301591e-57
"3318at32523",1.61731829873345e-101
"34372at32523",0
"35526at32523",1.21031340455063e-62
"3576at32523",0
"37595at32523",5.80720491683676e-100
"3768at32523",1.00099889173551e-54
"37749at32523",1.7919739213058e-83
"4188at32523",1.17035998580856e-124
"42538at32523",3.20455052148078e-62
"44174at32523",0
"44421at32523",2.80233739887067e-53
"45054at32523",4.55139371859458e-137
"45998at32523",3.78474207976948e-58
"46322at32523",6.99887048759491e-111
