"gene","pval"
"239568at32523",3.40897909625839e-141
"239803at32523",5.90919043180329e-77
"240061at32523",3.50496755160357e-98
"242048at32523",2.63223878929276e-55
"243385at32523",1.34936782548026e-57
"24340at32523",1.90796607170996e-111
"244174at32523",2.91335082878634e-207
"244942at32523",4.49871212669638e-55
"249219at32523",1.59408514589658e-165
"249397at32523",5.56094041613489e-62
"249574at32523",1.54184674066235e-61
"25058at32523",9.64442083710832e-132
"250844at32523",4.78490642536441e-91
"250976at32523",1.1178206801489e-133
"252686at32523",2.02319800696727e-109
"254286at32523",1.29655432097638e-76
"254458at32523",1.36413659208587e-57
"254681at32523",7.18138302528424e-61
"255377at32523",1.68935601882244e-78
"258591at32523",2.17341056999574e-97
"259445at32523",1.22566352773457e-50
"259972at32523",1.53472293270431e-121
"261311at32523",1.96718495796844e-55
"262189at32523",1.78516101441199e-48
"26466at32523",3.72416711238457e-90
"265332at32523",1.2483451625804e-56
"265834at32523",8.48900423975037e-216
"26652at32523",6.78351933029016e-68
"266685at32523",2.15591418290803e-221
"267251at32523",6.23108219185239e-72
"267472at32523",1.36213823601051e-240
"269758at32523",3.42948508023274e-61
"270101at32523",1.33918848767327e-87
"270878at32523",2.91407721186796e-157
"271071at32523",7.58153655180218e-110
"271339at32523",1.69577922111005e-49
"274390at32523",5.05072466866407e-193
"278185at32523",2.16393521123384e-63
"279702at32523",2.14277237526748e-88
"280809at32523",8.30312837141817e-50
"282898at32523",1.14657973186315e-85
"283371at32523",4.37177928227208e-143
"283521at32523",8.36972406124101e-71
"283734at32523",1.25302515748344e-106
"284008at32523",1.21051810073126e-185
"285282at32523",2.14177292608935e-49
"285773at32523",5.88480059899384e-121
"286324at32523",1.16483224411699e-59
"288030at32523",2.99665797534205e-155
"288598at32523",6.49699789250478e-101
"290800at32523",8.93977645029863e-49
"29093at32523",6.16589753855634e-156
"291010at32523",1.8352359381736e-123
"292094at32523",1.19718241947697e-85
"292234at32523",2.93543372394985e-100
"293248at32523",2.11118726610268e-58
"293808at32523",4.4608752120711e-49
"29403at32523",2.60988610201802e-56
"294083at32523",3.22465260470592e-166
"294624at32523",0
"296274at32523",2.61045194312528e-96
"297345at32523",2.16339065649493e-58
"298204at32523",7.10742512672289e-140
"298237at32523",4.59534200191125e-128
"298305at32523",2.72622334424255e-97
"299063at32523",2.11236137086392e-126
"299480at32523",3.40083943923953e-68
"301474at32523",2.00288597931422e-136
"302394at32523",3.20469698337371e-79
"302602at32523",7.99841288517099e-118
"302721at32523",3.6495395326517e-58
"30406at32523",9.1178659958751e-84
"304134at32523",3.16879466881427e-99
"305138at32523",1.266280742688e-51
"305143at32523",4.60895082511234e-103
"308747at32523",2.43366476053573e-203
"308798at32523",3.77943265986923e-77
"32130at32523",3.36747319897859e-53
"3318at32523",8.22406354905962e-98
"34372at32523",0
"35526at32523",6.15444366213994e-59
"3576at32523",0
"37595at32523",2.95296370021149e-96
"3768at32523",5.09007936447509e-51
"37749at32523",9.11218738983999e-80
"4188at32523",5.95128052783654e-121
"42538at32523",1.62951394017298e-58
"44174at32523",0
"44421at32523",1.42498856732573e-49
"45054at32523",2.31438370590535e-133
"45998at32523",1.92454134756278e-54
"46322at32523",3.55892564294201e-107
"46651at32523",3.15424344030252e-68
"46714at32523",1.49185347391163e-73
"47463at32523",2.54065505428983e-65
"48483at32523",2.53659743292987e-93
"48547at32523",7.97255269487286e-84
"53386at32523",4.92323404538489e-240
"57153at32523",2.78996017843724e-87
"58163at32523",4.48626729885743e-89
"59637at32523",1.71905261941284e-48
"59704at32523",4.52053920396338e-48
"62240at32523",1.82383385423043e-88
"6290at32523",4.55120716377058e-83
"64249at32523",1.77719289213419e-157
"64841at32523",5.35700135188181e-60
"66945at32523",1.87908246886374e-153
"66at32523",3.3957877767041e-59
"69006at32523",2.26242811916841e-138
"70270at32523",2.02911488268691e-52
"70578at32523",3.10755449501664e-93
"7066at32523",2.14987439804906e-153
"74571at32523",6.97444366048411e-183
"74848at32523",4.66665704549585e-53
"75693at32523",1.80896325745739e-60
"77387at32523",8.616507790878e-67
"78490at32523",2.01572500599838e-51
"79210at32523",1.67807870896523e-90
"7966at32523",6.5280067068837e-63
"80601at32523",3.24753498761053e-116
"81392at32523",9.37952105676154e-61
"81880at32523",4.46084916419278e-50
"82211at32523",2.02126354037612e-105
"8240at32523",5.10574900465612e-65
"82692at32523",1.2352757550359e-108
"8402at32523",7.19749137824898e-74
"88654at32523",2.36317699322172e-67
"91147at32523",8.84005236785417e-49
"9406at32523",5.57556884045104e-54
"99669at32523",4.14901140068165e-96
