"gene","pval"
"253171at32523",1.31886635743747e-217
"253220at32523",1.01937257721355e-274
"253461at32523",3.28798752952018e-87
"255581at32523",1.82451700988263e-68
"255863at32523",1.46337797769216e-236
"256114at32523",3.28611325463264e-86
"257507at32523",6.15172756929382e-175
"257812at32523",1.81433521038609e-147
"258205at32523",1.29227555231719e-68
"25837at32523",1.46497614105289e-65
"258710at32523",2.23723150260396e-121
"259026at32523",5.9104987319716e-99
"259095at32523",4.58634123897434e-278
"259972at32523",1.00868529147514e-179
"260778at32523",4.0379811939824e-106
"260781at32523",8.98392498145733e-107
"261311at32523",3.17771300264767e-127
"263440at32523",5.81306555446202e-207
"263835at32523",1.27086586583564e-84
"264559at32523",4.13095055297212e-109
"265077at32523",8.02195308688143e-91
"265292at32523",6.72219111820938e-77
"265834at32523",4.3629111862976e-85
"267061at32523",1.81686072116503e-187
"267170at32523",0
"267603at32523",4.54584198902371e-199
"268208at32523",5.88166294831709e-187
"269039at32523",1.18474238967937e-145
"269066at32523",3.02921278344392e-66
"269391at32523",4.03326276107549e-178
"270377at32523",9.00330568679608e-190
"271071at32523",2.3331303848399e-172
"272037at32523",7.86259704241769e-73
"273646at32523",5.19542522692702e-91
"274390at32523",3.88951606455971e-241
"275846at32523",2.37892923562319e-158
"277011at32523",1.65539509421819e-160
"277586at32523",1.49541939722928e-252
"277821at32523",6.25171612046401e-69
"278087at32523",2.35579134625477e-119
"278185at32523",7.45102771960352e-79
"27867at32523",1.00488539337533e-84
"279422at32523",5.36250990616096e-110
"279702at32523",2.8744218420752e-198
"280182at32523",2.27855426373139e-155
"280970at32523",1.36825216419257e-80
"281238at32523",6.2522292782435e-77
"281334at32523",5.04779908328879e-65
"281797at32523",7.43972542773123e-145
"282407at32523",1.17860458312545e-210
"282456at32523",1.278673707018e-69
"282804at32523",1.01253180994221e-93
"283327at32523",8.15217312374302e-275
"283521at32523",0
"283660at32523",9.55179142713668e-81
"283776at32523",4.02495284925306e-175
"284008at32523",7.53931651050066e-230
"285079at32523",1.42208988567753e-81
"286462at32523",5.68699270252515e-246
"286526at32523",4.27845302342481e-131
"287872at32523",9.79157540782486e-133
"288030at32523",1.76376919918269e-112
"288247at32523",7.34896425898085e-276
"288598at32523",4.6463964472502e-124
"288923at32523",0
"289300at32523",1.43769160361108e-111
"289585at32523",1.41522501816403e-187
"290126at32523",1.25493986585731e-184
"290216at32523",1.21178429547975e-184
"290236at32523",4.01492840720171e-207
"290488at32523",2.22806373831088e-74
"290800at32523",0
"29093at32523",3.23490520298093e-137
"291010at32523",4.9515841500144e-126
"292094at32523",0
"292234at32523",0
"292567at32523",5.18694366838974e-65
"293250at32523",2.78707024569516e-222
"293308at32523",3.03472881610229e-182
"293881at32523",6.03949402687479e-138
"294091at32523",6.75772939535364e-163
"294369at32523",1.5850577691679e-71
"294624at32523",0
"294828at32523",4.94065645841247e-324
"298204at32523",0
"298237at32523",3.83158852489364e-108
"298305at32523",1.55064429803294e-317
"299214at32523",5.87826091297611e-115
"300642at32523",1.98282538348537e-87
"301105at32523",9.48672992901774e-274
