"gene","pval"
"20946at32523",4.98211519735744e-82
"212732at32523",4.5932209532035e-67
"215018at32523",1.29446246805352e-75
"215463at32523",5.56618382263451e-68
"216370at32523",0
"216435at32523",4.25431638574195e-68
"217219at32523",1.02498629771614e-55
"219434at32523",7.63721075212832e-113
"219664at32523",4.24085624211855e-61
"220690at32523",3.63158717308296e-100
"223827at32523",1.05110264646447e-90
"224094at32523",1.92329006458037e-74
"224759at32523",2.77322786278539e-51
"225441at32523",7.14339437659877e-86
"227540at32523",3.18709035941513e-67
"229324at32523",3.51166780796454e-137
"229340at32523",1.246824971169e-95
"22945at32523",2.67132669237162e-60
"230017at32523",7.3675854369287e-62
"230300at32523",3.15959744102915e-97
"232531at32523",5.08045973276181e-57
"232639at32523",2.54621739568696e-57
"235011at32523",2.41255857007345e-51
"235309at32523",1.93795897094483e-122
"235866at32523",2.95703694909509e-95
"236911at32523",9.1706061282606e-96
"237414at32523",2.58448802397248e-76
"237758at32523",9.28193547449311e-122
"237857at32523",7.03936273081901e-103
"238128at32523",3.05813875697521e-273
"238690at32523",1.41648973043017e-87
"238813at32523",1.20324338665649e-83
"238978at32523",5.33781488264355e-69
"239568at32523",7.29041058919946e-145
"239803at32523",1.22614268522193e-80
"240061at32523",7.32576350987645e-102
"242048at32523",5.42324549110759e-59
"243385at32523",2.78343737040801e-61
"24340at32523",4.05795232578249e-115
"244174at32523",6.4065454574243e-211
"244942at32523",9.25303418345461e-59
"249219at32523",3.47443733733388e-169
"249397at32523",1.14940558170611e-65
"249574at32523",3.18976297753878e-65
"25058at32523",2.07416561373747e-135
"250844at32523",9.95784105385306e-95
"250976at32523",2.37545337403385e-137
"252686at32523",4.28874315513384e-113
"254286at32523",2.70411449775328e-80
"254458at32523",2.80173056508193e-61
"254681at32523",1.47506486539873e-64
"255377at32523",3.5035357244798e-82
"258591at32523",4.58798013410333e-101
"259445at32523",2.50827645703494e-54
"259972at32523",3.28062659305195e-125
"261311at32523",4.05168778298324e-59
"262189at32523",3.65714593832387e-52
"26466at32523",7.8319023764771e-94
"265332at32523",2.57159293059411e-60
"265834at32523",1.89811469147349e-219
